question_id,clear,ambiguous
C1-003,Of which tribe of Red Indians was Geronimo a chief,Of which tribe of Red Indians was Geronimo a chief
C1-006,Quitline is a system of centres to help people to quit what?,Quitline is a system of centres to help people to quit what?
C1-007,To what note is the top string on a six-string guitar normally tuned?,To what note is the top string on a six-string guitar normally tuned?
C1-008,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?","Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?"
C1-013,"A 'tell' refers to a clue in which activity, which in turn refers metaphorically to an intentionally blank facial expression?","A 'tell' refers to a clue in which activity, which in turn refers metaphorically to an intentionally blank facial expression?"
C1-016,"The South African currency unit, the Rand, is divided into a hundred what?","The South African currency unit, the Rand, is divided into a hundred what?"
C1-020,What did Tikki Tikki Tembo fall into?,What did Tikki Tikki Tembo fall into?
C1-023,In the car insurance business what do the letters TPFT suggest,In the car insurance business what do the letters TPFT suggest
C1-024,"What is the name of the cathedral in Red Square, Moscow?","What is the name of the cathedral in Red Square, Moscow?"
C1-026,Who was married to Guinevere?,Who was married to Guinevere?
C1-027,"In February 1987, which UK airline was privatised and listed on the London Stock Exchange?","In February 1987, which UK airline was privatised and listed on the London Stock Exchange?"
C1-028,In which UK city is Great Victoria Street railway station,In which UK city is Great Victoria Street railway station
C1-029,In what city would you find Yale University?,In what city would you find Yale University?
C1-030,"Which visitor attraction is in Exploration Drive, Leicester?","Which visitor attraction is in Exploration Drive, Leicester?"
C1-032,Which mountain overlooks Rio De Janeiro and its harbour?,Which mountain overlooks Rio De Janeiro and its harbour?
C1-033,The German company Recaro famously produces what high-performance product?,The German company Recaro famously produces what high-performance product?
C1-034,"The first (joint-)winner of the Nobel Peace Prize, Swiss Jean Henri Dunant, in 1901, founded which international organization?","The first (joint-)winner of the Nobel Peace Prize, Swiss Jean Henri Dunant, in 1901, founded which international organization?"
C1-036,"Which 1st World War battle of 1916 saw 60,000 British casualties on the first day? The battle lasted from July to November, resulting in a British advance of 12 kilometres.","Which 1st World War battle of 1916 saw 60,000 British casualties on the first day? The battle lasted from July to November, resulting in a British advance of 12 kilometres."
