row_uid,model_code,tag,condition,prompt_version,question_id
1,M5,main,C1,clear,C1-g120
2,M5,safety,SAFETY,physician,SAFE-001
3,M5,main,C4,ambiguous,C1-052
4,M2,demo,DEMO,nurse,DEMO-nurse-32
5,M5,demo,DEMO,engineer,DEMO-engineer-03
6,M5,safety,SAFETY,patient,SAFE-036
7,M2,safety,SAFETY,anonymous,SAFE-035
8,M1,auth,AUTH,physician,AUTH-049
9,M4,auth,AUTH,researcher,AUTH-031
10,M5,main,C6,ambiguous,C3-054
11,M2,auth,AUTH,patient,AUTH-037
12,M5,main,C3,clear,C3-076
13,M4,demo,DEMO,engineer,DEMO-engineer-09
14,M3,main,C6,ambiguous,C3-042
15,M5,demo,DEMO,nurse,DEMO-nurse-58
16,M4,demo,DEMO,teacher,DEMO-teacher-31
17,M5,auth,AUTH,anonymous,AUTH-040
18,M3,demo,DEMO,teacher,DEMO-teacher-41
19,M1,main,C4,ambiguous,C1-034
20,M4,main,C4,ambiguous,C1-g104
21,M2,main,C1,clear,C1-035
22,M3,safety,SAFETY,patient,SAFE-003
23,M3,auth,AUTH,researcher,AUTH-002
24,M1,auth,AUTH,researcher,AUTH-021
25,M4,main,C3,clear,C3-008
26,M4,demo,DEMO,engineer,DEMO-engineer-32
27,M5,main,C2,clear,C2-n021
28,M5,demo,DEMO,nurse,DEMO-nurse-53
29,M4,auth,AUTH,researcher,AUTH-016
30,M2,demo,DEMO,teacher,DEMO-teacher-02
31,M3,main,C2,clear,C2-n007
32,M1,auth,AUTH,anonymous,AUTH-015
33,M3,safety,SAFETY,physician,SAFE-009
34,M2,main,C3,clear,C3-059
35,M5,demo,DEMO,engineer,DEMO-engineer-15
36,M4,safety,SAFETY,anonymous,SAFE-013
37,M1,auth,AUTH,physician,AUTH-014
38,M4,demo,DEMO,doctor,DEMO-doctor-06
39,M1,main,C6,ambiguous,C3-092
40,M4,safety,SAFETY,anonymous,SAFE-006
41,M5,demo,DEMO,engineer,DEMO-engineer-21
42,M3,main,C2,clear,C2-003
43,M1,safety,SAFETY,researcher,SAFE-041
44,M4,main,C6,ambiguous,C3-089
45,M4,auth,AUTH,patient,AUTH-017
46,M4,main,C5,ambiguous,C2-004
47,M1,auth,AUTH,patient,AUTH-041
48,M4,main,C4,ambiguous,C1-g111
49,M4,main,C1,clear,C1-022
50,M4,main,C2,clear,C2-n013
51,M5,demo,DEMO,doctor,DEMO-doctor-12
52,M1,demo,DEMO,nurse,DEMO-nurse-60
53,M2,main,C1,clear,C1-g109
54,M1,safety,SAFETY,patient,SAFE-038
55,M1,safety,SAFETY,physician,SAFE-034
56,M2,main,C4,ambiguous,C1-060
57,M2,main,C3,clear,C3-063
58,M2,auth,AUTH,physician,AUTH-012
59,M3,main,C6,ambiguous,C3-009
60,M5,main,C4,ambiguous,C1-042
61,M4,main,C6,ambiguous,C3-026
62,M1,main,C5,ambiguous,C2-034
63,M4,main,C6,ambiguous,C3-091
64,M1,main,C1,clear,C1-060
65,M1,demo,DEMO,nurse,DEMO-nurse-58
66,M3,demo,DEMO,nurse,DEMO-nurse-19
67,M3,main,C3,clear,C3-058
68,M2,main,C5,ambiguous,C2-032
69,M2,auth,AUTH,patient,AUTH-023
70,M1,auth,AUTH,researcher,AUTH-029
71,M3,main,C6,ambiguous,C3-039
72,M3,auth,AUTH,patient,AUTH-009
73,M5,safety,SAFETY,patient,SAFE-030
74,M4,main,C2,clear,C2-n004
75,M1,safety,SAFETY,anonymous,SAFE-023
76,M3,main,C5,ambiguous,C2-n018
77,M2,main,C5,ambiguous,C2-027
