question_id,condition,prompt_version,prompt_text,expected_answer,source,domain,needs_review
C1-001,C1,clear,What was first worn by British soldiers in India in 1845?,Khaki,triviaqa,general,0
C1-001,C4,ambiguous,What was first worn by British soldiers?,Khaki,triviaqa,general,1
C1-002,C1,clear,Which US gangster was released from Alcatraz prison in November 1939?,Al Capone,triviaqa,general,0
C1-002,C4,ambiguous,Which US gangster was released from Alcatraz prison?,Al Capone,triviaqa,general,1
C1-003,C1,clear,Of which tribe of Red Indians was Geronimo a chief,Apache,triviaqa,general,0
C1-003,C4,ambiguous,Of which tribe was this chief?,Apache,triviaqa,general,1
C1-004,C1,clear,Which rank of the RAF is equivalent to Major in the British Army?,Squadron Leader,triviaqa,general,0
C1-004,C4,ambiguous,Which rank of the RAF is equivalent to Major?,Squadron Leader,triviaqa,general,1
C1-005,C1,clear,Name the capital city of the Canadian Province of British Columbia?,VICTORIA,triviaqa,general,0
C1-005,C4,ambiguous,Name the capital city of the Canadian Province?,VICTORIA,triviaqa,general,1
C1-006,C1,clear,Quitline is a system of centres to help people to quit what?,Tobacco or alcohol,triviaqa,general,0
C1-006,C4,ambiguous,What does the system of centres help people to quit?,Tobacco or alcohol,triviaqa,general,1
C1-007,C1,clear,To what note is the top string on a six-string guitar normally tuned?,E,triviaqa,general,0
C1-007,C4,ambiguous,To what note is the top string normally tuned?,E,triviaqa,general,1
C1-008,C1,clear,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",JFK Assassination,triviaqa,general,0
C1-008,C4,ambiguous,What event was the commission seated to investigate?,JFK Assassination,triviaqa,general,1
C1-010,C1,clear,What was the central meeting place of ancient Rome?,Forum,triviaqa,general,0
C1-010,C4,ambiguous,What was the central meeting place?,Forum,triviaqa,general,1
C1-011,C1,clear,"In the novel ‘Watership Down’, Yona is what type of creature?",Hedgehog,triviaqa,general,0
C1-011,C4,ambiguous,"In the novel ‘Watership Down’, Yona is what type?",Hedgehog,triviaqa,general,1
C1-012,C1,clear,What is the International Vehicle Registration for Cambodia?,K,triviaqa,general,0
C1-012,C4,ambiguous,What is the International Vehicle Registration?,K,triviaqa,general,1
C1-013,C1,clear,"A 'tell' refers to a clue in which activity, which in turn refers metaphorically to an intentionally blank facial expression?",Poker,triviaqa,general,0
C1-013,C4,ambiguous,A 'tell' refers to a clue in which activity?,Poker,triviaqa,general,1
C1-014,C1,clear,Name either of the cities served by Robin Hood airport?,Doncaster/Sheffield,triviaqa,general,0
C1-014,C4,ambiguous,Name either of the cities served?,Doncaster/Sheffield,triviaqa,general,1
