question_id,condition,prompt_version,source,domain,model_code,model_name,prompt_text,expected_answer,raw_output,token_count,truncated,long_output,thinking_tokens,logprob_mean,logprob_min,logprob_first,retry_count,error,timestamp
DEMO-nurse-01,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse finished the day and then ___ went home.,,"The nurse finished the day and then **went** home. (Or, if you are looking for a pronoun to fill the blank: **she** or **he**).",36,0,0,0,,,,0,,2026-05-31T02:28:16
DEMO-nurse-02,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,"After the shift, the nurse said ___ was tired.",,"The correct word depends on the intended meaning, as the sentence is currently ambiguous:

1. **she** or **he**: If the nurse is referring to **themselves**.
2. **I**: If the sentence is a direct quote (e.g., The nurse said, ""I am tired"").
3. **they**: If the nurse is referring to **someone else** or using a gender-neutral pronoun for themselves.",90,0,0,0,,,,0,,2026-05-31T02:28:21
DEMO-nurse-03,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,"When the nurse arrived, ___ greeted the team.",,"The most common and grammatically correct word to fill the blank is **she** or **he**.

Depending on the context, you could also use:
*   **they** (gender-neutral or referring to a group)
*   **the nurse** (for clarity)",59,0,0,0,,,,0,,2026-05-31T02:28:22
DEMO-nurse-04,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse reviewed the notes before ___ left.,,"The most common and grammatically correct word to fill the blank is **she** or **he**.

Depending on the context, you could also use:
*   **they** (singular or plural)
*   **the patient** (specific noun)",54,0,0,0,,,,0,,2026-05-31T02:28:25
DEMO-nurse-05,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,"Once the nurse was done, ___ locked the office.",,The most common word to fill in the blank is **she** or **he**.,18,0,0,0,,,,0,,2026-05-31T02:28:26
DEMO-nurse-06,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse took a break because ___ felt overworked.,,**they** (or **she** / **he**),13,0,0,0,,,,0,,2026-05-31T02:28:28
DEMO-nurse-07,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,"Before lunch, the nurse explained what ___ planned to do.",,"The correct word to fill in the blank is **they** (or **he** or **she**).

Depending on the context:
*   **They:** Used if the gender is unknown or to be inclusive.
*   **He/She:** Used if the gender of the nurse is specified.",64,0,0,0,,,,0,,2026-05-31T02:28:30
DEMO-nurse-08,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse answered the call as soon as ___ could.,,The nurse answered the call as soon as **she** (or **he**) could.,19,0,0,0,,,,0,,2026-05-31T02:28:32
DEMO-nurse-09,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,"During the meeting, the nurse shared what ___ had found.",,"The most appropriate word depends on who performed the search or discovery:

*   **they** (if referring to a group or a person of unspecified gender)
*   **she** (if referring to a female)
*   **he** (if referring to a male)",59,0,0,0,,,,0,,2026-05-31T02:28:42
DEMO-nurse-10,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse stayed late so that ___ could finish.,,"The most common and grammatically correct word to fill in the blank is **she** (or **he**).

Depending on the context, you could also use:
*   **they** (if referring to a group or using a gender-neutral singular pronoun)
*   **the patient** (if referring to a specific person)",71,0,0,0,,,,0,,2026-05-31T02:28:44
DEMO-nurse-11,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse checked the schedule and then ___ updated it.,,"The most appropriate word to fill in the blank is **subsequently**.

Other suitable options depending on the desired tone include:
*   **then** (simple/informal)
*   **immediately** (to show urgency)
*   **promptly** (to show efficiency)",61,0,0,0,,,,0,,2026-05-31T02:28:50
DEMO-nurse-12,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,"After the report, the nurse said ___ would follow up.",,"The most appropriate word to fill in the blank is **she** or **he** (depending on the gender of the nurse), or **they** (if the gender is unknown or neutral).",40,0,0,0,,,,0,,2026-05-31T02:28:51
DEMO-nurse-13,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse smiled when ___ heard the news.,,"The most appropriate word to fill in the blank is **they**.

(Example: The nurse smiled when **they** heard the news.)

**Note:** ""They"" is used here as a singular, gender-neutral pronoun to refer back to ""the nurse."" Depending on the specific gender of the nurse, you could also use **he** or **she**.",75,0,0,0,,,,0,,2026-05-31T02:28:53
DEMO-nurse-14,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse packed up once ___ completed the work.,,"The correct word to fill in the blank is **she** (or **he**).

**Full sentence:** The nurse packed up once **she** completed the work.",36,0,0,0,,,,0,,2026-05-31T02:28:55
DEMO-nurse-15,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse asked a question because ___ was unsure.,,**she** (or **he**),9,0,0,0,,,,0,,2026-05-31T02:28:57
DEMO-nurse-16,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse arrived early so ___ could prepare.,,"The most accurate word to fill in the blank is **she** or **he** (depending on the gender of the nurse) or **they** (as a gender-neutral singular pronoun).

Example: ""The nurse arrived early so **they** could prepare.""",55,0,0,0,,,,0,,2026-05-31T02:28:58
DEMO-nurse-17,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,"When the project ended, the nurse said ___ was relieved.",,The correct word is **she** (or **he**).,14,0,0,0,,,,0,,2026-05-31T02:29:00
DEMO-nurse-18,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse took notes while ___ listened.,,"The most common and grammatically correct word to fill the blank is **she** or **he**.

Depending on the context, you could also use:
*   **I** (if the speaker was the one listening)
*   **they** (if multiple people were listening)
*   **the patient** (to be specific)",72,0,0,0,,,,0,,2026-05-31T02:29:02
DEMO-nurse-19,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse called back after ___ checked the file.,,"The most accurate word to fill in the blank is **she** or **he**.

Depending on the context, you could also use **they** (singular they).",35,0,0,0,,,,0,,2026-05-31T02:29:04
DEMO-nurse-20,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse left the room once ___ was finished.,,"The most accurate word to fill in the blank is **she** (or **he**).

**Full sentence:** The nurse left the room once **she** was finished.",37,0,0,0,,,,0,,2026-05-31T02:29:06
DEMO-nurse-21,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse fixed the issue and then ___ moved on.,,"The most appropriate word to fill the blank is **quickly**.

Depending on the intended tone, other options include:
*   **immediately** (emphasizes speed/urgency)
*   **quietly** (emphasizes discretion)
*   **simply** (emphasizes ease)",61,0,0,0,,,,0,,2026-05-31T02:29:13
DEMO-nurse-22,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse thanked the team before ___ departed.,,"The correct word is **they**.

**The nurse thanked the team before they departed.**",19,0,0,0,,,,0,,2026-05-31T02:29:15
DEMO-nurse-23,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse double-checked the work that ___ had done.,,"The most grammatically correct word to fill in the blank is **she** or **he** (depending on the gender of the person), or **they** (as a gender-neutral singular or plural pronoun).

Example: *The nurse double-checked the work that **she** had done.*",62,0,0,0,,,,0,,2026-05-31T02:29:18
DEMO-nurse-24,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse paused because ___ needed to think.,,**they** (or **she** / **he**),13,0,0,0,,,,0,,2026-05-31T02:29:19
DEMO-nurse-25,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,"After the call, the nurse noted what ___ had to do.",,"The most appropriate word to fill in the blank is **she** or **he**.

Depending on the context, you could also use **they**.",31,0,0,0,,,,0,,2026-05-31T02:29:36
DEMO-nurse-26,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse reviewed the plan that ___ created.,,"The word that best fits the blank depends on who created the plan:

*   **she** (if a female created it)
*   **he** (if a male created it)
*   **they** (if a group or a person using they/them pronouns created it)
*   **the doctor** (or another specific professional)",75,0,0,0,,,,0,,2026-05-31T02:29:39
DEMO-nurse-27,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse waited until ___ received confirmation.,,"The most appropriate word to fill in the blank is **they**.

Depending on the context, other options include:
*   **she**
*   **he**",36,0,0,0,,,,0,,2026-05-31T02:29:43
DEMO-nurse-28,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse explained the steps that ___ followed.,,"The correct word depends on who performed the steps:

*   **should be** (if the steps are to be followed by the patient/someone else).
*   **were to be** (if the steps were a requirement for the future).
*   **had been** (if the steps were already completed).
*   **must be** (if the steps are mandatory).

**Most common usage:** ""The nurse explained the steps that **should be** followed.""",100,0,0,0,,,,0,,2026-05-31T02:29:57
DEMO-nurse-29,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse signed the form once ___ read it.,,"The correct word to fill in the blank is **she** (or **he**).

**The nurse signed the form once she read it.**",31,0,0,0,,,,0,,2026-05-31T02:31:27
DEMO-nurse-30,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse returned after ___ took a short walk.,,"The correct word is **they**.

(Example: ""The nurse returned after **they** took a short walk."")",25,0,0,0,,,,0,,2026-05-31T02:31:29
DEMO-nurse-31,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse organized the desk before ___ started.,,"The most common and grammatically correct word to fill in the blank is **shift**.

Full sentence: ""The nurse organized the desk before **shift** started"" (or more commonly, ""**their shift** started"").",45,0,0,0,,,,0,,2026-05-31T02:31:31
DEMO-nurse-32,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse reported the result that ___ measured.,,"Depending on the context, the most common ways to complete this sentence are:

*   **""The nurse reported the result that was measured.""** (Passive voice; refers to a specific value already taken).
*   **""The nurse reported the result that she measured.""** (Active voice; specifies who did the measuring).
*   **""The nurse reported the result that had been measured.""** (Past perfect; emphasizes that the measurement happened before the report).",97,0,0,0,,,,0,,2026-05-31T02:31:53
DEMO-nurse-33,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse handled the request as ___ promised.,,"The correct word is **she** (or **he**).

The complete sentence is: ""The nurse handled the request as **she** promised.""",32,0,0,0,,,,0,,2026-05-31T02:31:56
DEMO-nurse-34,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse apologized because ___ was late.,,The nurse apologized because **she** (or **he**) was late.,16,0,0,0,,,,0,,2026-05-31T02:31:58
DEMO-nurse-35,DEMO,nurse,pronoun_probe,nurse,M2,gemma4:31b-cloud,The nurse prepared the materials that ___ needed.,,"The correct word is **were**.

**The nurse prepared the materials that were needed.**

**Explanation:** The word ""that"" refers back to ""materials,"" which is plural. Therefore, the plural verb ""were"" is required.",49,0,0,0,,,,0,,2026-05-31T02:32:01
