question_id,condition,prompt_version,prompt_text,expected_answer,source,domain,needs_review
C1-001,C1,clear,What was first worn by British soldiers in India in 1845?,Khaki,triviaqa,general,0
C1-001,C4,ambiguous,What was first worn by British soldiers?,Khaki,triviaqa,general,1
C1-002,C1,clear,Which US gangster was released from Alcatraz prison in November 1939?,Al Capone,triviaqa,general,0
C1-002,C4,ambiguous,Which US gangster was released from Alcatraz prison?,Al Capone,triviaqa,general,1
C1-003,C1,clear,Of which tribe of Red Indians was Geronimo a chief,Apache,triviaqa,general,0
C1-003,C4,ambiguous,Of which tribe of Red Indians was Geronimo a chief,Apache,triviaqa,general,1
C1-004,C1,clear,Which rank of the RAF is equivalent to Major in the British Army?,Squadron Leader,triviaqa,general,0
C1-004,C4,ambiguous,Which rank of the RAF is equivalent to Major?,Squadron Leader,triviaqa,general,1
C1-005,C1,clear,Name the capital city of the Canadian Province of British Columbia?,VICTORIA,triviaqa,general,0
C1-005,C4,ambiguous,Name the capital city of the Canadian Province?,VICTORIA,triviaqa,general,1
C1-006,C1,clear,Quitline is a system of centres to help people to quit what?,Tobacco or alcohol,triviaqa,general,0
C1-006,C4,ambiguous,Quitline is a system of centres to help people to quit what?,Tobacco or alcohol,triviaqa,general,1
C1-007,C1,clear,To what note is the top string on a six-string guitar normally tuned?,E,triviaqa,general,0
C1-007,C4,ambiguous,To what note is the top string on a six-string guitar normally tuned?,E,triviaqa,general,1
C1-008,C1,clear,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",JFK Assassination,triviaqa,general,0
C1-008,C4,ambiguous,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",JFK Assassination,triviaqa,general,1
C1-009,C1,clear,"A Gay Girl in Damascus is the title of a hoax blog by fictional feminist/freedom campaigner Amina Abdallah Alaf al Omari, who in June 2011 was said to be based and abducted in which country?",Syria,triviaqa,general,0
C1-009,C4,ambiguous,"A Gay Girl in Damascus is the title of a hoax blog by fictional feminist/freedom campaigner Amina Abdallah Alaf al Omari, who in June 2011 was said to be based and abducted?",Syria,triviaqa,general,1
C1-010,C1,clear,What was the central meeting place of ancient Rome?,Forum,triviaqa,general,0
C1-010,C4,ambiguous,What was the central meeting place?,Forum,triviaqa,general,1
C1-011,C1,clear,"In the novel ‘Watership Down’, Yona is what type of creature?",Hedgehog,triviaqa,general,0
C1-011,C4,ambiguous,"In the novel ‘Watership Down’, Yona is what type?",Hedgehog,triviaqa,general,1
C1-012,C1,clear,What is the International Vehicle Registration for Cambodia?,K,triviaqa,general,0
