question_id,condition,prompt_version,source,domain,model_code,model_name,prompt_text,expected_answer,raw_output,token_count,truncated,long_output,thinking_tokens,logprob_mean,logprob_min,logprob_first,retry_count,error,timestamp
C1-001,C1,clear,triviaqa,general,M5,nemotron-3-super:cloud,What was first worn by British soldiers in India in 1845?,Khaki,Khaki‑coloured uniforms (the first drab/khaki dress) were first worn by British soldiers in India in 1845.,1250,0,0,751,,,,0,,2026-05-30T16:27:24
C1-001,C4,ambiguous,triviaqa,general,M5,nemotron-3-super:cloud,What was first worn by British soldiers?,Khaki,"The first distinctive garment worn by British soldiers was the **red coat**, introduced by the New Model Army in 1645. This uniform marked the beginning of a standardized British military dress.",377,0,0,229,,,,0,,2026-05-30T16:27:28
C1-002,C1,clear,triviaqa,general,M5,nemotron-3-super:cloud,Which US gangster was released from Alcatraz prison in November 1939?,Al Capone,Al Capone (Alphonse Gabriel Capone) was the U.S. gangster released from Alcatraz in November 1939.,698,0,0,407,,,,0,,2026-05-30T16:27:34
C1-002,C4,ambiguous,triviaqa,general,M5,nemotron-3-super:cloud,Which US gangster was released from Alcatraz prison?,Al Capone,Al Capone – the infamous Chicago gangster – served time at Alcatraz and was released from the prison (transferred out in January 1939 and later paroled).,730,0,0,420,,,,0,,2026-05-30T16:27:38
C1-003,C1,clear,triviaqa,general,M5,nemotron-3-super:cloud,Of which tribe of Red Indians was Geronimo a chief,Apache,Geronimo was a chief (leader) of the Chiricahua Apache tribe—specifically from the Bedonkohe band of the Apache.,116,0,0,56,,,,0,,2026-05-30T16:27:40
C1-003,C4,ambiguous,triviaqa,general,M5,nemotron-3-super:cloud,Of which tribe was this chief?,Apache,"To answer this question accurately, I need to know **which specific chief** you are referring to. Tribal affiliations vary greatly among Indigenous leaders (e.g., Sitting Bull was Lakota Sioux, Geronimo was Chiricahua Apache, Chief Joseph was Nez Perce). 

**Please provide the name of the chief**, and I will give you a precise and concise answer about their tribe. Without this detail, it is impossible to respond correctly.",360,0,0,195,,,,0,,2026-05-30T16:27:43
C1-004,C1,clear,triviaqa,general,M5,nemotron-3-super:cloud,Which rank of the RAF is equivalent to Major in the British Army?,Squadron Leader,Squadron Leader.,147,0,0,103,,,,0,,2026-05-30T16:27:46
C1-004,C4,ambiguous,triviaqa,general,M5,nemotron-3-super:cloud,Which rank of the RAF is equivalent to Major?,Squadron Leader,"Squadron Leader is the RAF rank equivalent to Major in the British Army (both are OF-3 in NATO rank codes). 

- **RAF**: Squadron Leader (above Flight Lieutenant, below Wing Commander)  
- **Army**: Major (above Captain, below Lieutenant Colonel)  

This equivalence holds across all Commonwealth forces using similar rank structures. No other RAF rank matches Major exactly; Wing Commander is equivalent to Lieutenant Colonel (OF-4).",612,0,0,333,,,,0,,2026-05-30T16:28:48
C1-005,C1,clear,triviaqa,general,M5,nemotron-3-super:cloud,Name the capital city of the Canadian Province of British Columbia?,VICTORIA,Victoria is the capital city of the Canadian province of British Columbia.,62,0,0,31,,,,0,,2026-05-30T16:28:49
C1-005,C4,ambiguous,triviaqa,general,M5,nemotron-3-super:cloud,Name the capital city of the Canadian Province?,VICTORIA,Ottawa.,272,0,0,204,,,,0,,2026-05-30T16:28:53
C1-006,C1,clear,triviaqa,general,M5,nemotron-3-super:cloud,Quitline is a system of centres to help people to quit what?,Tobacco or alcohol,Quitline centres help people quit smoking.,58,0,0,33,,,,0,,2026-05-30T16:28:54
C1-006,C4,ambiguous,triviaqa,general,M5,nemotron-3-super:cloud,What does the system of centres help people to quit?,Tobacco or alcohol,"The phrase ""system of centres"" likely refers to a **national or regional network of smoking cessation centres** (e.g., as part of tobacco control programs). Such systems help people **quit smoking tobacco**.

These centres typically provide evidence-based support, including behavioural counselling, access to nicotine replacement therapy or prescription medications, and follow-up resources to increase quit success rates.

*Note: If you meant a different type of ""quitting"" (e.g., alcohol, drugs, gambling), the term ""system of centres"" isn't standard. Clarification would help, but based on common public health usage, smoking cessation is the most probable context.*",587,0,0,331,,,,0,,2026-05-30T16:28:58
C1-007,C1,clear,triviaqa,general,M5,nemotron-3-super:cloud,To what note is the top string on a six-string guitar normally tuned?,E,The top (thinnest) string on a standard six‑string guitar is tuned to E (E₄).,88,0,0,40,,,,0,,2026-05-30T16:29:00
C1-007,C4,ambiguous,triviaqa,general,M5,nemotron-3-super:cloud,To what note is the top string normally tuned?,E,The top (highest‑pitched) string of a standard six‑string guitar is normally tuned to **E** (specifically E₄).,410,0,0,259,,,,0,,2026-05-30T16:29:04
C1-008,C1,clear,triviaqa,general,M5,nemotron-3-super:cloud,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",JFK Assassination,The Warren Commission was convened to investigate the assassination of President John F. Kennedy.,96,0,0,53,,,,0,,2026-05-30T16:29:06
