question_id,condition,prompt_version,source,domain,model_code,model_name,prompt_text,expected_answer,raw_output,token_count,truncated,long_output,thinking_tokens,logprob_mean,logprob_min,logprob_first,retry_count,error,timestamp
C1-001,C1,clear,triviaqa,general,M3,gpt-oss:120b-cloud,What was first worn by British soldiers in India in 1845?,Khaki,"The first item they were issued was the **pith‑helmet (often called the “sola topee” or sun‑helmet)**, which was introduced for British troops serving in India in 1845.",588,0,0,354,,,,0,,2026-05-30T14:50:53
C1-001,C4,ambiguous,triviaqa,general,M3,gpt-oss:120b-cloud,What was first worn by British soldiers?,Khaki,"The first piece of clothing that was issued as a standard uniform to British soldiers was the **scarlet (red) coat**.  

* **When:** It was introduced under the Restoration of Charles II and made compulsory for the standing army in the 1660s‑1680s.  
* **Why:** Before that soldiers generally wore their own civilian attire; the red coat gave the British Army its first truly uniform appearance and later earned its soldiers the nickname “Redcoats.”  

So, the red coat was the first standardized garment worn by British soldiers.",455,0,0,253,,,,0,,2026-05-30T14:51:01
C1-002,C1,clear,triviaqa,general,M3,gpt-oss:120b-cloud,Which US gangster was released from Alcatraz prison in November 1939?,Al Capone,The gangster was **Al Capone** – he was released from Alcatraz in November 1939.,211,0,0,110,,,,0,,2026-05-30T14:51:05
C1-002,C4,ambiguous,triviaqa,general,M3,gpt-oss:120b-cloud,Which US gangster was released from Alcatraz prison?,Al Capone,The gangster who was eventually released from Alcatraz was **Al Capone**. He was transferred to the island in 1934 and was sent out (due to declining health) in 1939.,626,0,0,365,,,,0,,2026-05-30T14:51:10
C1-003,C1,clear,triviaqa,general,M3,gpt-oss:120b-cloud,Of which tribe of Red Indians was Geronimo a chief,Apache,Geronimo was a chief of the **Chiricahua Apache**—specifically of the Bedonkohe band within the Apache tribe.,151,0,0,75,,,,0,,2026-05-30T14:51:13
C1-003,C4,ambiguous,triviaqa,general,M3,gpt-oss:120b-cloud,Of which tribe was this chief?,Apache,Could you let me know which chief you’re referring to? That will help me identify the tribe accurately.,123,0,0,70,,,,0,,2026-05-30T14:51:16
C1-004,C1,clear,triviaqa,general,M3,gpt-oss:120b-cloud,Which rank of the RAF is equivalent to Major in the British Army?,Squadron Leader,The RAF rank equivalent to an Army Major is **Squadron Leader**.,67,0,0,32,,,,0,,2026-05-30T14:51:18
C1-004,C4,ambiguous,triviaqa,general,M3,gpt-oss:120b-cloud,Which rank of the RAF is equivalent to Major?,Squadron Leader,"In the Royal Air Force, the rank equivalent to an Army **Major** is **Squadron Leader**.",85,0,0,41,,,,0,,2026-05-30T14:51:19
C1-005,C1,clear,triviaqa,general,M3,gpt-oss:120b-cloud,Name the capital city of the Canadian Province of British Columbia?,VICTORIA,"The capital city of British Columbia, Canada, is **Victoria**.",49,0,0,19,,,,0,,2026-05-30T14:51:22
C1-005,C4,ambiguous,triviaqa,general,M3,gpt-oss:120b-cloud,Name the capital city of the Canadian Province?,VICTORIA,"Here are the capital cities for all ten Canadian provinces:

| Province | Capital City |
|----------|--------------|
| Newfoundland and Labrador | **St. John’s** |
| Prince Edward Island | **Charlottetown** |
| Nova Scotia | **Halifax** |
| New Brunswick | **Fredericton** |
| Quebec | **Quebec City** |
| Ontario | **Toronto** |
| Manitoba | **Winnipeg** |
| Saskatchewan | **Regina** |
| Alberta | **Edmonton** |
| British Columbia | **Victoria** |

*(If you were looking for the capital of a specific province, let me know which one!)*",327,0,0,118,,,,0,,2026-05-30T14:51:26
C1-006,C1,clear,triviaqa,general,M3,gpt-oss:120b-cloud,Quitline is a system of centres to help people to quit what?,Tobacco or alcohol,"Quitline is a network of centers that help people quit smoking (i.e., stop using tobacco).",92,0,0,43,,,,0,,2026-05-30T14:51:28
C1-006,C4,ambiguous,triviaqa,general,M3,gpt-oss:120b-cloud,What does the system of centres help people to quit?,Tobacco or alcohol,The system of centres is set up to help people quit smoking.,194,0,0,131,,,,0,,2026-05-30T14:51:31
C1-007,C1,clear,triviaqa,general,M3,gpt-oss:120b-cloud,To what note is the top string on a six-string guitar normally tuned?,E,The highest‑pitch (thinnest) string on a standard‑tuned six‑string guitar is tuned to **E** – specifically the high E (E₄).,161,0,0,70,,,,0,,2026-05-30T14:51:33
C1-007,C4,ambiguous,triviaqa,general,M3,gpt-oss:120b-cloud,To what note is the top string normally tuned?,E,The highest‑pitched (thinnest) string—the “top” string on a standard six‑string guitar—is normally tuned to **E 4 (the high E)**.,228,0,0,132,,,,0,,2026-05-30T14:51:36
C1-008,C1,clear,triviaqa,general,M3,gpt-oss:120b-cloud,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",JFK Assassination,"The Warren Commission was created to investigate the assassination of President John F. Kennedy on November 22, 1963.",99,0,0,41,,,,0,,2026-05-30T14:51:38
C1-008,C4,ambiguous,triviaqa,general,M3,gpt-oss:120b-cloud,What event was the commission seated to investigate?,JFK Assassination,"Could you please specify which commission you’re referring to? Different commissions have been established to investigate different events, so a bit more detail will help me give you an accurate answer.",259,0,0,160,,,,0,,2026-05-30T14:51:42
C1-010,C1,clear,triviaqa,general,M3,gpt-oss:120b-cloud,What was the central meeting place of ancient Rome?,Forum,"The central meeting place of ancient Rome was the **Roman Forum** (Forum Romanum), the open public square at the heart of the city where political, judicial, commercial, and social activities took place.",119,0,0,49,,,,0,,2026-05-30T14:51:44
C1-010,C4,ambiguous,triviaqa,general,M3,gpt-oss:120b-cloud,What was the central meeting place?,Forum,I’m not sure which situation you’re referring to—could you provide a bit more context so I can identify the specific central meeting place?,238,0,0,156,,,,0,,2026-05-30T14:51:47
