question_id,condition,prompt_version,source,domain,model_code,model_name,prompt_text,expected_answer,raw_output,token_count,truncated,long_output,thinking_tokens,logprob_mean,logprob_min,logprob_first,retry_count,error,timestamp
C1-001,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,What was first worn by British soldiers in India in 1845?,Khaki,"In 1845, British soldiers in India began wearing **khaki** (a Persian word meaning ""dusty""). 

Originally, British uniforms were bright red, which were impractical for the Indian climate and made soldiers easy targets. In 1846, Sir Harry Lumsden of the Corps of Guides began dyeing his uniforms with a mixture of tea and mud to create a neutral, camouflaged color that blended in with the landscape.",94,0,0,0,,,,0,,2026-05-30T13:54:18
C1-001,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,What was first worn by British soldiers?,Khaki,"Because the British Army has existed for centuries, what was ""first"" worn depends on the era:

*   **Early Modern Era (17th Century):** In the early 1600s, soldiers typically wore **buff coats** (thick leather jackets) and wide-brimmed hats.
*   **The ""Redcoat"" Era (Late 17th–19th Century):** The iconic **red wool coat** became the standard uniform in the late 1600s to make soldiers easily identifiable on smoke-filled battlefields.
*   **World War I (20th Century):** In 1914, the British Army transitioned from red coats to **Khaki Service Dress** to provide camouflage in the field.",162,0,0,0,,,,0,,2026-05-30T13:54:20
C1-002,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,Which US gangster was released from Alcatraz prison in November 1939?,Al Capone,**Al Capone** was released from Alcatraz in November 1939.,18,0,0,0,,,,0,,2026-05-30T13:54:22
C1-002,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,Which US gangster was released from Alcatraz prison?,Al Capone,**Al Capone** was the most prominent US gangster released from Alcatraz. He was transferred from the prison to San Quentin State Prison in 1939 after his health deteriorated due to syphilis.,41,0,0,0,,,,0,,2026-05-30T13:54:23
C1-003,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,Of which tribe of Red Indians was Geronimo a chief,Apache,Geronimo was a leader of the **Chiricahua Apache**.,16,0,0,0,,,,0,,2026-05-30T13:54:25
C1-003,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,Of which tribe was this chief?,Apache,You did not provide an image or a name. Please specify which chief you are referring to so I can answer your question.,26,0,0,0,,,,0,,2026-05-30T13:54:27
C1-004,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,Which rank of the RAF is equivalent to Major in the British Army?,Squadron Leader,The RAF rank equivalent to a Major in the British Army is **Squadron Leader**.,18,0,0,0,,,,0,,2026-05-30T13:54:28
C1-004,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,Which rank of the RAF is equivalent to Major?,Squadron Leader,The RAF rank equivalent to Major is **Squadron Leader**.,13,0,0,0,,,,0,,2026-05-30T13:54:29
C1-005,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,Name the capital city of the Canadian Province of British Columbia?,VICTORIA,The capital city of British Columbia is Victoria.,10,0,0,0,,,,0,,2026-05-30T13:54:37
C1-005,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,Name the capital city of the Canadian Province?,VICTORIA,"Canada has ten provinces, each with its own capital city:

*   **Alberta:** Edmonton
*   **British Columbia:** Victoria
*   **Manitoba:** Winnipeg
*   **New Brunswick:** Fredericton
*   **Newfoundland and Labrador:** St. John's
*   **Nova Scotia:** Halifax
*   **Ontario:** Toronto
*   **Prince Edward Island:** Charlottetown
*   **Quebec:** Quebec City
*   **Saskatchewan:** Regina",104,0,0,0,,,,0,,2026-05-30T13:54:40
C1-006,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,Quitline is a system of centres to help people to quit what?,Tobacco or alcohol,Quitline is a system of centres designed to help people quit **smoking** (tobacco use).,21,0,0,0,,,,0,,2026-05-30T13:54:42
C1-006,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,What does the system of centres help people to quit?,Tobacco or alcohol,The **System of Centres** is a method designed to help people quit **smoking**.,18,0,0,0,,,,0,,2026-05-30T13:54:44
C1-007,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,To what note is the top string on a six-string guitar normally tuned?,E,The top string (the thinnest string) on a six-string guitar is normally tuned to **E** (specifically high E).,28,0,0,0,,,,0,,2026-05-30T13:54:45
C1-007,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,To what note is the top string normally tuned?,E,"Depending on the instrument, the top string (the one closest to the ceiling) is normally tuned to:

*   **Guitar:** **E** (High E)
*   **Violin:** **E**
*   **Cello:** **A**
*   **Double Bass:** **G** (or A, depending on the setup)
*   **Ukulele:** **C** (Standard GCEA tuning)",90,0,0,0,,,,0,,2026-05-30T13:54:47
C1-008,C1,clear,triviaqa,general,M2,gemma4:31b-cloud,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",JFK Assassination,The Warren Commission was seated to investigate the assassination of President John F. Kennedy.,17,0,0,0,,,,0,,2026-05-30T13:55:53
C1-008,C4,ambiguous,triviaqa,general,M2,gemma4:31b-cloud,What event was the commission seated to investigate?,JFK Assassination,"Please specify which commission you are referring to, as there have been many commissions seated to investigate various events throughout history (e.g., the 9/11 Commission, the Warren Commission, the Truth and Reconciliation Commission).",46,0,0,0,,,,0,,2026-05-30T13:55:57
